sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,species,species_encoded,sepal length (cm)_scaled,sepal width (cm)_scaled,petal length (cm)_scaled,petal width (cm)_scaled
5.1,3.5,1.4,0.2,0,setosa,0,-0.9739431467796088,1.0190043519716065,-1.3402265266227635,-1.3154442950077407
4.9,3.0,1.4,0.2,0,setosa,0,-1.2234944157053433,-0.1319794793216258,-1.3402265266227635,-1.3154442950077407
4.7,3.2,1.3,0.2,0,setosa,0,-1.473045684631079,0.3284140531956675,-1.3970639535363667,-1.3154442950077407
4.6,3.1,1.5,0.2,0,setosa,0,-1.5978213190939474,0.09821728693702086,-1.2833890997091604,-1.3154442950077407
5.0,3.6,1.4,0.2,0,setosa,0,-1.0987187812424761,1.2492011182302531,-1.3402265266227635,-1.3154442950077407
5.8805555555555555,3.9,1.7,0.4,0,setosa,0,-2.2164605166862064e-15,1.939791417006192,-1.169714245881954,-1.052179926427139
5.8805555555555555,3.4,1.4,0.3,0,setosa,0,-2.2164605166862064e-15,0.7888075857129598,-1.3402265266227635,-1.18381211071744
5.8805555555555555,3.4,1.5,0.2,0,setosa,0,-2.2164605166862064e-15,0.7888075857129598,-1.2833890997091604,-1.3154442950077407
5.8805555555555555,2.9,1.4,0.2,0,setosa,0,-2.2164605166862064e-15,-0.36217624558027245,-1.3402265266227635,-1.3154442950077407
5.8805555555555555,3.1,1.5,0.1,0,setosa,0,-2.2164605166862064e-15,0.09821728693702086,-1.2833890997091604,-1.4470764792980415
5.8805555555555555,3.7,1.5,0.2,0,setosa,0,-2.2164605166862064e-15,1.4793978844888998,-1.2833890997091604,-1.3154442950077407
4.8,3.4,1.6,0.2,0,setosa,0,-1.3482700501682117,0.7888075857129598,-1.2265516727955572,-1.3154442950077407
4.8,3.0,1.4,0.1,0,setosa,0,-1.3482700501682117,-0.1319794793216258,-1.3402265266227635,-1.4470764792980415
4.3,3.0,1.1,0.1,0,setosa,0,-1.9721482224825502,-0.1319794793216258,-1.5107388073635728,-1.4470764792980415
5.8,4.0,1.2,0.2,0,setosa,0,-0.10051370553953473,2.169988183264839,-1.4539013804499696,-1.3154442950077407
5.7,4.4,1.5,0.4,0,setosa,0,-0.22528934000240197,3.0907752482994253,-1.2833890997091604,-1.052179926427139
5.4,3.9,1.3,0.4,0,setosa,0,-0.5996162433910048,1.939791417006192,-1.3970639535363667,-1.052179926427139
5.1,3.5,1.4,0.3,0,setosa,0,-0.9739431467796088,1.0190043519716065,-1.3402265266227635,-1.18381211071744
5.7,3.8,1.7,0.3,0,setosa,0,-0.22528934000240197,1.7095946507475455,-1.169714245881954,-1.18381211071744
5.1,3.8,1.5,0.3,0,setosa,0,-0.9739431467796088,1.7095946507475455,-1.2833890997091604,-1.18381211071744
5.4,3.4,1.7,0.2,0,setosa,0,-0.5996162433910048,0.7888075857129598,-1.169714245881954,-1.3154442950077407
5.1,3.7,1.5,0.4,0,setosa,0,-0.9739431467796088,1.4793978844888998,-1.2833890997091604,-1.052179926427139
4.6,3.6,1.0,0.2,0,setosa,0,-1.5978213190939474,1.2492011182302531,-1.567576234277176,-1.3154442950077407
5.1,3.3,1.7,0.5,0,setosa,0,-0.9739431467796088,0.5586108194543131,-1.169714245881954,-0.9205477421368382
4.8,3.4,1.9,0.2,0,setosa,0,-1.3482700501682117,0.7888075857129598,-1.056039392054748,-1.3154442950077407
5.0,3.0,1.6,0.2,0,setosa,0,-1.0987187812424761,-0.1319794793216258,-1.2265516727955572,-1.3154442950077407
5.0,3.4,1.6,0.4,0,setosa,0,-1.0987187812424761,0.7888075857129598,-1.2265516727955572,-1.052179926427139
5.2,3.5,1.5,0.2,0,setosa,0,-0.8491675123167405,1.0190043519716065,-1.2833890997091604,-1.3154442950077407
5.2,3.4,1.4,0.2,0,setosa,0,-0.8491675123167405,0.7888075857129598,-1.3402265266227635,-1.3154442950077407
4.7,3.2,1.6,0.2,0,setosa,0,-1.473045684631079,0.3284140531956675,-1.2265516727955572,-1.3154442950077407
4.8,3.1,1.6,0.2,0,setosa,0,-1.3482700501682117,0.09821728693702086,-1.2265516727955572,-1.3154442950077407
5.4,3.4,1.5,0.4,0,setosa,0,-0.5996162433910048,0.7888075857129598,-1.2833890997091604,-1.052179926427139
5.2,4.1,1.5,0.1,0,setosa,0,-0.8491675123167405,2.400184949523484,-1.2833890997091604,-1.4470764792980415
5.5,4.2,1.4,0.2,0,setosa,0,-0.4748406089281376,2.630381715782132,-1.3402265266227635,-1.3154442950077407
4.9,3.1,1.5,0.2,0,setosa,0,-1.2234944157053433,0.09821728693702086,-1.2833890997091604,-1.3154442950077407
5.0,3.2,1.2,0.2,0,setosa,0,-1.0987187812424761,0.3284140531956675,-1.4539013804499696,-1.3154442950077407
5.5,3.5,1.3,0.2,0,setosa,0,-0.4748406089281376,1.0190043519716065,-1.3970639535363667,-1.3154442950077407
4.9,3.6,1.4,0.1,0,setosa,0,-1.2234944157053433,1.2492011182302531,-1.3402265266227635,-1.4470764792980415
4.4,3.0,1.3,0.2,0,setosa,0,-1.8473725880196818,-0.1319794793216258,-1.3970639535363667,-1.3154442950077407
5.1,3.4,1.5,0.2,0,setosa,0,-0.9739431467796088,0.7888075857129598,-1.2833890997091604,-1.3154442950077407
5.0,3.5,1.3,0.3,0,setosa,0,-1.0987187812424761,1.0190043519716065,-1.3970639535363667,-1.18381211071744
4.5,2.3,1.3,0.3,0,setosa,0,-1.7225969535568146,-1.7433568431321513,-1.3970639535363667,-1.18381211071744
4.4,3.2,1.3,0.2,0,setosa,0,-1.8473725880196818,0.3284140531956675,-1.3970639535363667,-1.3154442950077407
5.0,3.5,1.6,0.6,0,setosa,0,-1.0987187812424761,1.0190043519716065,-1.2265516727955572,-0.7889155578465374
5.1,3.8,1.9,0.4,0,setosa,0,-0.9739431467796088,1.7095946507475455,-1.056039392054748,-1.052179926427139
4.8,3.0,1.4,0.3,0,setosa,0,-1.3482700501682117,-0.1319794793216258,-1.3402265266227635,-1.18381211071744
5.1,3.8,1.6,0.2,0,setosa,0,-0.9739431467796088,1.7095946507475455,-1.2265516727955572,-1.3154442950077407
4.6,3.2,1.4,0.2,0,setosa,0,-1.5978213190939474,0.3284140531956675,-1.3402265266227635,-1.3154442950077407
5.3,3.7,1.5,0.2,0,setosa,0,-0.7243918778538733,1.4793978844888998,-1.2833890997091604,-1.3154442950077407
5.0,3.3,1.4,0.2,0,setosa,0,-1.0987187812424761,0.5586108194543131,-1.3402265266227635,-1.3154442950077407
7.0,3.2,4.7,1.4,1,versicolor,1,1.396793908014878,0.3284140531956675,0.5354085615261401,0.2641419164758693
6.4,3.2,4.5,1.5,1,versicolor,1,0.6481401012376722,0.3284140531956675,0.42173370769893376,0.3957741007661703
6.9,3.1,4.9,1.5,1,versicolor,1,1.2720182735520107,0.09821728693702086,0.6490834153533465,0.3957741007661703
5.5,2.3,4.0,1.3,1,versicolor,1,-0.4748406089281376,-1.7433568431321513,0.13754657313091806,0.13250973218556866
6.5,2.8,4.6,1.5,1,versicolor,1,0.7729157357005394,-0.5923730118389191,0.4785711346125367,0.3957741007661703
5.7,2.8,4.5,1.3,1,versicolor,1,-0.22528934000240197,-0.5923730118389191,0.42173370769893376,0.13250973218556866
6.3,3.3,4.7,1.6,1,versicolor,1,0.5233644667748037,0.5586108194543131,0.5354085615261401,0.5274062850564712
4.9,2.4,3.3,1.0,1,versicolor,1,-1.2234944157053433,-1.5131600768735047,-0.26031541526430396,-0.262386820685334
6.6,2.9,4.6,1.3,1,versicolor,1,0.8976913701634066,-0.36217624558027245,0.4785711346125367,0.13250973218556866
5.2,2.7,3.9,1.4,1,versicolor,1,-0.8491675123167405,-0.8225697780975647,0.08070914621731488,0.2641419164758693
5.0,2.0,3.5,1.0,1,versicolor,1,-1.0987187812424761,-2.43394714190809,-0.1466405614370976,-0.262386820685334
5.9,3.0,4.2,1.5,1,versicolor,1,0.024261928923333637,-0.1319794793216258,0.25122142695812444,0.3957741007661703
6.0,2.2,4.0,1.0,1,versicolor,1,0.1490375633862009,-1.973553609390797,0.13754657313091806,-0.262386820685334
6.1,2.9,4.7,1.4,1,versicolor,1,0.27381319784906816,-0.36217624558027245,0.5354085615261401,0.2641419164758693
5.6,2.9,3.6,1.3,1,versicolor,1,-0.35006497446527035,-0.36217624558027245,-0.08980313452349442,0.13250973218556866
6.7,3.1,4.4,1.4,1,versicolor,1,1.022467004626275,0.09821728693702086,0.3648962807853308,0.2641419164758693
5.6,3.0,4.5,1.5,1,versicolor,1,-0.35006497446527035,-0.1319794793216258,0.42173370769893376,0.3957741007661703
5.8,2.7,4.1,1.0,1,versicolor,1,-0.10051370553953473,-0.8225697780975647,0.194384000044521,-0.262386820685334
6.2,2.2,4.5,1.5,1,versicolor,1,0.39858883231193654,-1.973553609390797,0.42173370769893376,0.3957741007661703
5.6,2.5,3.9,1.1,1,versicolor,1,-0.35006497446527035,-1.282963310614858,0.08070914621731488,-0.13075463639503299
5.9,3.2,4.8,1.8,1,versicolor,1,0.024261928923333637,0.3284140531956675,0.5922459884397431,0.7906706536370729
6.1,2.8,4.0,1.3,1,versicolor,1,0.27381319784906816,-0.5923730118389191,0.13754657313091806,0.13250973218556866
6.3,2.5,4.9,1.5,1,versicolor,1,0.5233644667748037,-1.282963310614858,0.6490834153533465,0.3957741007661703
6.1,2.8,4.7,1.2,1,versicolor,1,0.27381319784906816,-0.5923730118389191,0.5354085615261401,0.0008775478952676988
6.4,2.9,4.3,1.3,1,versicolor,1,0.6481401012376722,-0.36217624558027245,0.3080588538717274,0.13250973218556866
6.6,3.0,4.4,1.4,1,versicolor,1,0.8976913701634066,-0.1319794793216258,0.3648962807853308,0.2641419164758693
6.8,2.8,4.8,1.4,1,versicolor,1,1.1472426390891424,-0.5923730118389191,0.5922459884397431,0.2641419164758693
6.7,3.0,5.0,1.7,1,versicolor,1,1.022467004626275,-0.1319794793216258,0.7059208422669494,0.659038469346772
6.0,2.9,4.5,1.5,1,versicolor,1,0.1490375633862009,-0.36217624558027245,0.42173370769893376,0.3957741007661703
5.7,2.6,3.5,1.0,1,versicolor,1,-0.22528934000240197,-1.0527665443562113,-0.1466405614370976,-0.262386820685334
5.5,2.4,3.8,1.1,1,versicolor,1,-0.4748406089281376,-1.5131600768735047,0.023871719303711698,-0.13075463639503299
5.5,2.4,3.7,1.0,1,versicolor,1,-0.4748406089281376,-1.5131600768735047,-0.03296570760989124,-0.262386820685334
5.8,2.7,3.9,1.2,1,versicolor,1,-0.10051370553953473,-0.8225697780975647,0.08070914621731488,0.0008775478952676988
6.0,2.7,5.1,1.6,1,versicolor,1,0.1490375633862009,-0.8225697780975647,0.7627582691805523,0.5274062850564712
5.4,3.0,4.5,1.5,1,versicolor,1,-0.5996162433910048,-0.1319794793216258,0.42173370769893376,0.3957741007661703
6.0,3.4,4.5,1.6,1,versicolor,1,0.1490375633862009,0.7888075857129598,0.42173370769893376,0.5274062850564712
6.7,3.1,4.7,1.5,1,versicolor,1,1.022467004626275,0.09821728693702086,0.5354085615261401,0.3957741007661703
6.3,2.3,4.4,1.3,1,versicolor,1,0.5233644667748037,-1.7433568431321513,0.3648962807853308,0.13250973218556866
5.6,3.0,4.1,1.3,1,versicolor,1,-0.35006497446527035,-0.1319794793216258,0.194384000044521,0.13250973218556866
5.5,2.5,4.0,1.3,1,versicolor,1,-0.4748406089281376,-1.282963310614858,0.13754657313091806,0.13250973218556866
5.5,2.6,4.4,1.2,1,versicolor,1,-0.4748406089281376,-1.0527665443562113,0.3648962807853308,0.0008775478952676988
6.1,3.0,4.6,1.4,1,versicolor,1,0.27381319784906816,-0.1319794793216258,0.4785711346125367,0.2641419164758693
5.8,2.6,4.0,1.2,1,versicolor,1,-0.10051370553953473,-1.0527665443562113,0.13754657313091806,0.0008775478952676988
5.0,2.3,3.3,1.0,1,versicolor,1,-1.0987187812424761,-1.7433568431321513,-0.26031541526430396,-0.262386820685334
5.6,2.7,4.2,1.3,1,versicolor,1,-0.35006497446527035,-0.8225697780975647,0.25122142695812444,0.13250973218556866
5.7,3.0,4.2,1.2,1,versicolor,1,-0.22528934000240197,-0.1319794793216258,0.25122142695812444,0.0008775478952676988
5.7,2.9,4.2,1.3,1,versicolor,1,-0.22528934000240197,-0.36217624558027245,0.25122142695812444,0.13250973218556866
6.2,2.9,4.3,1.3,1,versicolor,1,0.39858883231193654,-0.36217624558027245,0.3080588538717274,0.13250973218556866
5.1,2.5,3.0,1.1,1,versicolor,1,-0.9739431467796088,-1.282963310614858,-0.4308276960051133,-0.13075463639503299
5.7,2.8,4.1,1.3,1,versicolor,1,-0.22528934000240197,-0.5923730118389191,0.194384000044521,0.13250973218556866
6.3,3.3,6.0,2.5,2,virginica,2,0.5233644667748037,0.5586108194543131,1.2742951114029808,1.712095943669179
5.8,2.7,5.1,1.9,2,virginica,2,-0.10051370553953473,-0.8225697780975647,0.7627582691805523,0.9223028379273737
7.1,3.0,5.9,2.1,2,virginica,2,1.5215695424777451,-0.1319794793216258,1.2174576844893779,1.1855672065079756
6.3,2.9,5.6,1.8,2,virginica,2,0.5233644667748037,-0.36217624558027245,1.0469454037485681,0.7906706536370729
6.5,3.0,5.8,2.2,2,virginica,2,0.7729157357005394,-0.1319794793216258,1.1606202575757745,1.3171993907982766
7.6,3.0,6.6,2.1,2,virginica,2,2.1454477147920836,-0.1319794793216258,1.6153196728845993,1.1855672065079756
4.9,2.5,4.5,1.7,2,virginica,2,-1.2234944157053433,-1.282963310614858,0.42173370769893376,0.659038469346772
7.3,2.9,6.3,1.8,2,virginica,2,1.7711208114034809,-0.36217624558027245,1.44480739214379,0.7906706536370729
6.7,2.5,5.8,1.8,2,virginica,2,1.022467004626275,-1.282963310614858,1.1606202575757745,0.7906706536370729
7.2,3.6,6.1,2.5,2,virginica,2,1.6463451769406134,1.2492011182302531,1.3311325383165837,1.712095943669179
6.5,3.2,5.1,2.0,2,virginica,2,0.7729157357005394,0.3284140531956675,0.7627582691805523,1.0539350222176747
6.4,2.7,5.3,1.9,2,virginica,2,0.6481401012376722,-0.8225697780975647,0.8764331230077588,0.9223028379273737
6.8,3.0,5.5,2.1,2,virginica,2,1.1472426390891424,-0.1319794793216258,0.9901079768349651,1.1855672065079756
5.7,2.5,5.0,2.0,2,virginica,2,-0.22528934000240197,-1.282963310614858,0.7059208422669494,1.0539350222176747
5.8,2.8,5.1,2.4,2,virginica,2,-0.10051370553953473,-0.5923730118389191,0.7627582691805523,1.580463759378878
6.4,3.2,5.3,2.3,2,virginica,2,0.6481401012376722,0.3284140531956675,0.8764331230077588,1.448831575088577
6.5,3.0,5.5,1.8,2,virginica,2,0.7729157357005394,-0.1319794793216258,0.9901079768349651,0.7906706536370729
7.7,3.8,6.7,2.2,2,virginica,2,2.270223349254952,1.7095946507475455,1.672157099798203,1.3171993907982766
7.7,2.6,6.9,2.3,2,virginica,2,2.270223349254952,-1.0527665443562113,1.7858319536254093,1.448831575088577
6.0,2.2,5.0,1.5,2,virginica,2,0.1490375633862009,-1.973553609390797,0.7059208422669494,0.3957741007661703
6.9,3.2,5.7,2.3,2,virginica,2,1.2720182735520107,0.3284140531956675,1.1037828306621715,1.448831575088577
5.6,2.8,4.9,2.0,2,virginica,2,-0.35006497446527035,-0.5923730118389191,0.6490834153533465,1.0539350222176747
7.7,2.8,6.7,2.0,2,virginica,2,2.270223349254952,-0.5923730118389191,1.672157099798203,1.0539350222176747
6.3,2.7,4.9,1.8,2,virginica,2,0.5233644667748037,-0.8225697780975647,0.6490834153533465,0.7906706536370729
6.7,3.3,5.7,2.1,2,virginica,2,1.022467004626275,0.5586108194543131,1.1037828306621715,1.1855672065079756
7.2,3.2,6.0,1.8,2,virginica,2,1.6463451769406134,0.3284140531956675,1.2742951114029808,0.7906706536370729
6.2,2.8,4.8,1.8,2,virginica,2,0.39858883231193654,-0.5923730118389191,0.5922459884397431,0.7906706536370729
6.1,3.0,4.9,1.8,2,virginica,2,0.27381319784906816,-0.1319794793216258,0.6490834153533465,0.7906706536370729
6.4,2.8,5.6,2.1,2,virginica,2,0.6481401012376722,-0.5923730118389191,1.0469454037485681,1.1855672065079756
7.2,3.0,5.8,1.6,2,virginica,2,1.6463451769406134,-0.1319794793216258,1.1606202575757745,0.5274062850564712
7.4,2.8,6.1,1.9,2,virginica,2,1.8958964458663492,-0.5923730118389191,1.3311325383165837,0.9223028379273737
7.9,3.8,6.4,2.0,2,virginica,2,2.5197746181806875,1.7095946507475455,1.5016448190573937,1.0539350222176747
6.4,2.8,5.6,2.2,2,virginica,2,0.6481401012376722,-0.5923730118389191,1.0469454037485681,1.3171993907982766
6.3,2.8,5.1,1.5,2,virginica,2,0.5233644667748037,-0.5923730118389191,0.7627582691805523,0.3957741007661703
6.1,2.6,5.6,1.4,2,virginica,2,0.27381319784906816,-1.0527665443562113,1.0469454037485681,0.2641419164758693
7.7,3.0,6.1,2.3,2,virginica,2,2.270223349254952,-0.1319794793216258,1.3311325383165837,1.448831575088577
6.3,3.4,5.6,2.4,2,virginica,2,0.5233644667748037,0.7888075857129598,1.0469454037485681,1.580463759378878
6.4,3.1,5.5,1.8,2,virginica,2,0.6481401012376722,0.09821728693702086,0.9901079768349651,0.7906706536370729
6.0,3.0,4.8,1.8,2,virginica,2,0.1490375633862009,-0.1319794793216258,0.5922459884397431,0.7906706536370729
6.9,3.1,5.4,2.1,2,virginica,2,1.2720182735520107,0.09821728693702086,0.9332705499213622,1.1855672065079756
6.7,3.1,5.6,2.4,2,virginica,2,1.022467004626275,0.09821728693702086,1.0469454037485681,1.580463759378878
6.9,3.1,5.1,2.3,2,virginica,2,1.2720182735520107,0.09821728693702086,0.7627582691805523,1.448831575088577
5.8,2.7,5.1,1.9,2,virginica,2,-0.10051370553953473,-0.8225697780975647,0.7627582691805523,0.9223028379273737
6.8,3.2,5.9,2.3,2,virginica,2,1.1472426390891424,0.3284140531956675,1.2174576844893779,1.448831575088577
6.7,3.3,5.7,2.5,2,virginica,2,1.022467004626275,0.5586108194543131,1.1037828306621715,1.712095943669179
6.7,3.0,5.2,2.3,2,virginica,2,1.022467004626275,-0.1319794793216258,0.8195956960941558,1.448831575088577
6.3,2.5,5.0,1.9,2,virginica,2,0.5233644667748037,-1.282963310614858,0.7059208422669494,0.9223028379273737
6.5,3.0,5.2,2.0,2,virginica,2,0.7729157357005394,-0.1319794793216258,0.8195956960941558,1.0539350222176747
6.2,3.4,5.4,2.3,2,virginica,2,0.39858883231193654,0.7888075857129598,0.9332705499213622,1.448831575088577
5.9,3.0,5.1,1.8,2,virginica,2,0.024261928923333637,-0.1319794793216258,0.7627582691805523,0.7906706536370729
